Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Vipaka,Vata_Recommendation,Pitta_Recommendation,Kapha_Recommendation,Regional_Cuisine,Health_Conditions
Cumin,294,37.34,30.76,33.74,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Favor,Neutral,South Indian,"['Immunity', 'Weight_Gain', 'Weight_Loss']"
Vada,254,35.06,50.37,21.69,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,East Indian,"['Hair_Growth', 'Digestion', 'Heart_Health']"
Cucumber,129,35.23,61.19,32.88,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,South Indian,"['General_Wellness', 'Joint_Pain']"
Saffron,425,15.28,60.64,26.61,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,South Indian,"['General_Wellness', 'Joint_Pain']"
Green Gram,108,38.37,9.53,15.79,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,West Indian,"['Joint_Pain', 'Skin_Health', 'Acidity']"
Salmon,91,20.43,72.96,29.31,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Neutral,Favor,Favor,West Indian,"['Acidity', 'Stress']"
Chaas,71,29.7,74.59,11.98,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,South Indian,"['Hair_Growth', 'Diabetes']"
Beetroot,268,9.69,25.27,17.91,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,West Indian,['Heart_Health']
Sesame Seeds,377,19.83,13.75,13.19,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Neutral,North Indian,"['Immunity', 'Weight_Loss']"
Curry,355,10.74,16.11,23.06,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,North Indian,['Skin_Health']
Black Cardamom,274,36.54,6.59,12.51,Kashaya (Astringent),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,South Indian,['Weight_Loss']
Chhole Bhature,546,11.17,17.61,34.04,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['Joint_Pain', 'Immunity', 'Weight_Gain']"
Maple Syrup,64,20.7,12.07,6.42,Amla (Sour),Shita (Cold),Amla (Sour),Neutral,Neutral,Favor,South Indian,['Skin_Health']
Garlic,233,25.71,39.52,1.86,Katu (Pungent),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,West Indian,"['Digestion', 'General_Wellness']"
Coriander,169,34.6,34.35,31.16,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,North Indian,['Diabetes']
Rasmalai,101,17.38,38.41,30.64,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,West Indian,['Skin_Health']
Vada,423,26.32,42.11,29.8,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,North Indian,"['Acidity', 'General_Wellness']"
Black Cardamom,484,24.72,20.88,29.86,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,North Indian,['Weight_Gain']
Pork,174,13.97,45.64,3.65,Amla (Sour),Ushna (Hot),Madhura (Sweet),Neutral,Favor,Favor,North Indian,"['Heart_Health', 'Hair_Growth']"
Masoor Dal,172,19.17,77.65,3.39,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['Skin_Health', 'Heart_Health', 'Weight_Loss']"
Oregano,346,2.76,57.43,9.23,Tikta (Bitter),Shita (Cold),Amla (Sour),Neutral,Avoid,Favor,South Indian,"['Diabetes', 'Acidity']"
Gulab Jamun,197,3.59,40.33,14.23,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,South Indian,['Hair_Growth']
Carrot,386,30.46,55.04,34.7,Tikta (Bitter),Shita (Cold),Katu (Pungent),Neutral,Avoid,Favor,West Indian,"['Diabetes', 'Stress']"
Lemon,320,36.63,66.55,4.91,Kashaya (Astringent),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,West Indian,"['Immunity', 'Hair_Growth', 'Weight_Loss']"
Pumpkin Seeds,157,5.05,64.26,15.09,Tikta (Bitter),Ushna (Hot),Amla (Sour),Neutral,Favor,Favor,West Indian,"['Digestion', 'Stress']"
Bhindi Masala,335,28.37,17.48,27.63,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,South Indian,"['Digestion', 'Immunity']"
Dosa,115,22.19,20.09,10.32,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,South Indian,"['Weight_Loss', 'Weight_Gain']"
Turmeric,443,33.1,32.47,21.25,Katu (Pungent),Ushna (Hot),Katu (Pungent),Neutral,Avoid,Favor,West Indian,"['Hair_Growth', 'Skin_Health', 'Immunity']"
Dhokla,263,34.76,72.01,7.2,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,West Indian,['Heart_Health']
Tuna,201,25.79,26.51,33.94,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Neutral,Favor,West Indian,"['Digestion', 'Weight_Gain']"
Shahi Tukda,329,9.35,46.54,13.71,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,South Indian,['Stress']
Watermelon,385,26.39,40.4,31.82,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,East Indian,"['Skin_Health', 'Joint_Pain']"
Litchi,586,2.04,50.01,10.3,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Favor,Favor,South Indian,['General_Wellness']
Thepla,580,21.91,47.91,29.93,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,East Indian,"['Hair_Growth', 'Weight_Gain', 'Acidity']"
Fish Curry,235,33.76,66.09,18.91,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,South Indian,"['Skin_Health', 'Weight_Loss', 'Diabetes']"
Tempeh,538,14.08,64.72,15.39,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,North Indian,"['Digestion', 'Heart_Health']"
Cranberry,77,22.3,55.92,30.64,Lavana (Salty),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,North Indian,"['Heart_Health', 'Digestion']"
Mushroom,70,14.56,11.77,19.91,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,North Indian,['Stress']
Broccoli,421,19.78,14.55,22.91,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,East Indian,"['Acidity', 'Heart_Health']"
Millet,128,16.89,28.25,9.18,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Neutral,South Indian,"['Skin_Health', 'Digestion', 'Weight_Gain']"
Plum,514,14.2,21.87,30.79,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,North Indian,"['Digestion', 'Immunity', 'General_Wellness']"
Rosemary,382,14.36,74.25,14.9,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,West Indian,"['Digestion', 'Stress', 'Acidity']"
Bhel Puri,468,15.59,26.81,21.71,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,East Indian,"['Digestion', 'Hair_Growth']"
Karela Juice,336,30.53,24.92,20.23,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Neutral,Favor,Favor,North Indian,"['Hair_Growth', 'Joint_Pain', 'Heart_Health']"
Dark Chocolate,283,12.44,59.8,29.22,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,North Indian,"['Acidity', 'Skin_Health', 'Weight_Loss']"
Handvo,248,2.53,62.89,30.69,Katu (Pungent),Shita (Cold),Katu (Pungent),Neutral,Avoid,Favor,North Indian,"['Joint_Pain', 'Digestion', 'Immunity']"
Raj Kachori,305,39.69,7.9,4.93,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,West Indian,"['Skin_Health', 'Weight_Gain']"
Kheer,111,24.39,51.98,19.06,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Favor,Neutral,South Indian,['Digestion']
Bay Leaf,325,35.74,57.03,14.11,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,North Indian,"['Heart_Health', 'Stress']"
Rock Salt,62,8.29,63.29,8.4,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,North Indian,['Digestion']
Raj Kachori,580,14.89,58.24,2.15,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,North Indian,['General_Wellness']
Pongal,192,32.64,17.31,15.77,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Avoid,Neutral,Avoid,North Indian,"['Hair_Growth', 'Weight_Loss']"
Sweet Potato,252,27.52,19.71,23.67,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,East Indian,"['Hair_Growth', 'General_Wellness', 'Diabetes']"
Beef,243,31.51,29.09,12.8,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,North Indian,['Hair_Growth']
Cherry,203,21.24,6.92,32.4,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Neutral,Favor,Favor,North Indian,['Digestion']
Onion,290,13.08,14.66,30.01,Amla (Sour),Shita (Cold),Amla (Sour),Neutral,Avoid,Favor,South Indian,['Weight_Gain']
Oats,361,14.9,13.11,17.97,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,East Indian,"['Hair_Growth', 'Stress']"
Amla,93,17.39,77.15,3.31,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,East Indian,"['Weight_Gain', 'Immunity', 'Heart_Health']"
Millet,295,20.3,44.85,10.94,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Favor,Avoid,North Indian,"['Stress', 'Acidity']"
Puri Bhaji,166,34.0,22.25,0.7,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,South Indian,"['Digestion', 'Hair_Growth']"
Green Gram,584,17.97,48.28,30.62,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,North Indian,"['Diabetes', 'Digestion', 'General_Wellness']"
Moong Dal,419,36.65,76.19,28.99,Lavana (Salty),Ushna (Hot),Amla (Sour),Favor,Neutral,Favor,East Indian,['Weight_Loss']
Couscous,243,13.97,44.28,17.25,Lavana (Salty),Shita (Cold),Amla (Sour),Favor,Favor,Avoid,West Indian,"['Diabetes', 'Weight_Loss']"
Asafoetida,357,14.04,57.82,9.22,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,East Indian,"['Acidity', 'Joint_Pain', 'General_Wellness']"
Mozzarella,533,24.66,67.68,26.55,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,East Indian,['Joint_Pain']
Blueberry,398,35.33,34.64,16.59,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Neutral,Favor,West Indian,"['Weight_Loss', 'Hair_Growth', 'Weight_Gain']"
Bhindi Masala,242,19.71,12.01,24.89,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,South Indian,['Stress']
Barley,90,13.82,41.78,27.16,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,West Indian,"['Hair_Growth', 'Diabetes']"
Upma,397,34.73,65.98,1.65,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,North Indian,['Skin_Health']
Toor Dal,468,14.52,33.62,21.82,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Neutral,Avoid,Favor,East Indian,['Weight_Gain']
Tomato,117,12.36,70.62,26.95,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,East Indian,"['Immunity', 'Weight_Gain']"
Cottage Cheese,477,17.32,75.17,33.27,Katu (Pungent),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,West Indian,"['Weight_Gain', 'Digestion']"
Saffron,380,14.31,55.92,19.93,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,West Indian,"['Diabetes', 'Weight_Gain']"
Pork,336,34.46,6.67,21.53,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,West Indian,['Heart_Health']
Bajra Roti,135,24.05,21.91,2.74,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Neutral,Avoid,South Indian,"['Acidity', 'Stress']"
Olive Oil,295,16.54,29.44,8.7,Kashaya (Astringent),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,West Indian,['Weight_Loss']
Cod,389,25.6,66.46,26.77,Amla (Sour),Shita (Cold),Madhura (Sweet),Neutral,Avoid,Favor,West Indian,"['Hair_Growth', 'Diabetes']"
Strawberry,198,18.24,74.89,10.36,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Neutral,Favor,South Indian,"['Weight_Gain', 'Joint_Pain']"
Besan Ladoo,350,9.1,43.27,18.75,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,North Indian,"['Acidity', 'Stress', 'Joint_Pain']"
Chaas,294,24.03,5.08,31.57,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,West Indian,['Hair_Growth']
Chia Seeds,481,12.05,16.24,3.6,Katu (Pungent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,West Indian,"['General_Wellness', 'Diabetes', 'Heart_Health']"
Sesame Oil,472,25.37,8.55,21.64,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,West Indian,['Weight_Loss']
Raita,547,26.52,26.18,10.7,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,North Indian,"['Hair_Growth', 'Heart_Health']"
Soybeans,418,24.0,22.39,2.11,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,South Indian,"['Weight_Gain', 'Weight_Loss']"
Chhole Bhature,67,34.65,35.26,14.25,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Neutral,Neutral,South Indian,['Stress']
Pav Bhaji,524,37.04,61.34,20.85,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Avoid,Neutral,South Indian,['Joint_Pain']
Oregano,517,19.1,60.82,16.61,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Avoid,Avoid,West Indian,"['Immunity', 'Weight_Gain']"
Rasgulla,507,26.8,50.91,27.68,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,East Indian,['Skin_Health']
Chole Kulche,310,20.57,71.75,29.66,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Favor,Favor,North Indian,['Hair_Growth']
Sooji ka Halwa,134,11.88,75.64,18.79,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,North Indian,['Weight_Loss']
Pongal,368,37.36,71.75,27.61,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Neutral,Avoid,East Indian,"['Joint_Pain', 'General_Wellness', 'Weight_Loss']"
Giloy,442,17.18,78.95,3.97,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,West Indian,['Weight_Loss']
Mace,302,33.27,45.52,8.19,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,East Indian,"['Weight_Gain', 'General_Wellness', 'Hair_Growth']"
Buckwheat,389,20.34,75.52,10.63,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,North Indian,"['Diabetes', 'Weight_Loss']"
Flax Seeds,81,6.15,76.17,17.35,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,West Indian,['Stress']
Sugarcane Juice,577,10.22,10.21,20.18,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Avoid,Avoid,East Indian,"['Immunity', 'General_Wellness']"
Arugula,517,30.26,30.43,16.09,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,North Indian,"['Weight_Loss', 'Digestion', 'Acidity']"
Bok Choy,442,23.46,69.57,28.85,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,East Indian,"['Hair_Growth', 'Weight_Gain', 'Joint_Pain']"
Asparagus,297,15.92,7.76,31.7,Amla (Sour),Ushna (Hot),Madhura (Sweet),Neutral,Avoid,Avoid,East Indian,"['General_Wellness', 'Weight_Gain']"
Apricot,473,19.97,72.48,12.1,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,West Indian,['Weight_Loss']
Thyme,198,33.86,69.16,29.17,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Neutral,Favor,West Indian,"['Heart_Health', 'Weight_Loss']"
Rogan Josh,337,19.63,38.75,20.64,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,North Indian,['Skin_Health']
Thali,469,27.78,26.46,9.2,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,South Indian,['Weight_Gain']
Macadamia,429,15.5,48.07,29.24,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,North Indian,['Skin_Health']
Cardamom,467,11.0,42.69,9.86,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,South Indian,"['Hair_Growth', 'Weight_Gain']"
Goat Cheese,520,36.25,11.74,5.05,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,North Indian,"['Skin_Health', 'Hair_Growth']"
Bajra,146,26.78,15.1,18.39,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,East Indian,"['Stress', 'Heart_Health']"
Thyme,518,36.36,65.39,9.97,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,West Indian,['Immunity']
Green Cardamom,354,22.27,69.35,25.92,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Neutral,Avoid,Favor,West Indian,"['Weight_Gain', 'General_Wellness']"
Grape,194,28.85,71.98,33.48,Lavana (Salty),Ushna (Hot),Katu (Pungent),Neutral,Favor,Favor,West Indian,"['Digestion', 'Acidity']"
Bok Choy,278,35.09,70.26,20.47,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Avoid,Favor,Neutral,West Indian,"['Hair_Growth', 'Weight_Gain', 'Stress']"
Sesame Seeds,520,27.35,72.19,20.44,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,West Indian,"['Weight_Loss', 'Heart_Health', 'Hair_Growth']"
Biryani,357,26.96,37.73,27.75,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,South Indian,"['Skin_Health', 'General_Wellness', 'Joint_Pain']"
Cinnamon,95,5.55,17.95,0.92,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Neutral,Favor,East Indian,"['General_Wellness', 'Weight_Loss', 'Weight_Gain']"
Corn,62,17.48,47.33,27.86,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Neutral,Favor,Avoid,North Indian,['General_Wellness']
Hazelnut,116,20.02,40.09,1.65,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,East Indian,"['Weight_Gain', 'Acidity']"
Endive,155,17.12,55.6,2.42,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,East Indian,"['Diabetes', 'Joint_Pain', 'Weight_Loss']"
Apple,484,39.83,59.79,8.35,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Avoid,Favor,Neutral,South Indian,"['Joint_Pain', 'Digestion']"
Olive Oil,271,13.25,70.32,0.64,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,"['Stress', 'Immunity', 'Acidity']"
Grape,152,8.59,12.38,11.79,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,North Indian,"['Heart_Health', 'General_Wellness']"
Nectarine,82,9.46,46.11,16.13,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,West Indian,"['Immunity', 'Heart_Health', 'Stress']"
Chhole Bhature,506,27.22,16.35,4.06,Lavana (Salty),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,North Indian,['General_Wellness']
Tea,567,35.2,28.05,32.88,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,South Indian,"['Weight_Gain', 'Heart_Health', 'General_Wellness']"
Dosa,256,10.54,70.56,9.59,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,East Indian,"['General_Wellness', 'Immunity', 'Weight_Loss']"
Salmon,208,38.39,7.26,33.55,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,East Indian,"['General_Wellness', 'Joint_Pain', 'Diabetes']"
Rock Salt,386,39.36,65.63,6.02,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,South Indian,"['Heart_Health', 'Weight_Loss', 'Immunity']"
Barley,164,37.36,37.13,11.93,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Neutral,Favor,South Indian,"['Skin_Health', 'Heart_Health', 'General_Wellness']"
Leeks,89,3.23,48.97,19.61,Kashaya (Astringent),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,North Indian,"['Joint_Pain', 'Immunity']"
Chutney,246,8.73,70.48,26.12,Tikta (Bitter),Shita (Cold),Amla (Sour),Neutral,Avoid,Favor,East Indian,"['Diabetes', 'Immunity']"
Jowar Roti,199,39.83,10.75,16.82,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,North Indian,"['Diabetes', 'Hair_Growth']"
Dal Makhani,105,32.23,52.37,11.46,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,South Indian,['Heart_Health']
Buttermilk,454,20.0,53.64,1.48,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,West Indian,"['General_Wellness', 'Digestion', 'Heart_Health']"
Wheat,419,25.87,46.04,8.48,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,South Indian,"['Joint_Pain', 'Skin_Health']"
Coconut Water,548,16.89,43.5,28.43,Katu (Pungent),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,West Indian,"['Digestion', 'Hair_Growth', 'Stress']"
Agave Nectar,583,24.37,28.34,16.01,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,North Indian,['Hair_Growth']
Curry Leaves,356,10.84,51.27,18.06,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,South Indian,"['Joint_Pain', 'Digestion', 'Skin_Health']"
Sugarcane Juice,116,16.41,39.92,16.6,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,North Indian,"['Immunity', 'Stress']"
Wheatgrass Juice,65,34.51,74.54,3.63,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Avoid,West Indian,['Diabetes']
Kale,445,26.04,23.16,15.57,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,South Indian,['Weight_Gain']
Masoor Dal,120,24.86,55.37,13.93,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Avoid,Neutral,East Indian,"['Immunity', 'Skin_Health']"
Guava,539,11.74,71.84,17.44,Amla (Sour),Ushna (Hot),Katu (Pungent),Neutral,Favor,Favor,South Indian,"['Weight_Gain', 'Digestion', 'Heart_Health']"
Thali,155,35.43,69.29,13.44,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,North Indian,"['General_Wellness', 'Weight_Loss', 'Weight_Gain']"
Vada,392,5.94,14.64,3.65,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,West Indian,"['Heart_Health', 'Joint_Pain', 'Hair_Growth']"
Rasam,269,2.22,8.88,32.11,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,East Indian,"['Immunity', 'Joint_Pain']"
Wheat,64,7.63,65.87,15.01,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,East Indian,['Weight_Loss']
Kashmiri Pulao,178,33.31,70.91,24.02,Madhura (Sweet),Shita (Cold),Katu (Pungent),Neutral,Avoid,Avoid,West Indian,['Weight_Loss']
White Chocolate,364,12.21,79.9,2.97,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,West Indian,"['Immunity', 'Weight_Loss', 'Hair_Growth']"
Chutney,106,28.64,75.18,23.47,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,"['Heart_Health', 'Hair_Growth', 'Digestion']"
Orange,291,13.55,24.89,4.96,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,North Indian,"['General_Wellness', 'Weight_Loss', 'Hair_Growth']"
Barley,238,32.07,46.98,12.86,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,North Indian,"['Skin_Health', 'Weight_Gain', 'Joint_Pain']"
Pongal,381,25.01,57.91,23.97,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,West Indian,"['General_Wellness', 'Weight_Loss', 'Digestion']"
Wheatgrass Juice,104,21.26,68.0,20.57,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,South Indian,['Weight_Loss']
Lentils,484,17.32,33.06,9.83,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,South Indian,['Heart_Health']
Pistachio,168,2.05,51.21,7.02,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,East Indian,['General_Wellness']
Matar Paneer,399,17.78,64.95,11.07,Tikta (Bitter),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,West Indian,"['Stress', 'Weight_Gain', 'Immunity']"
Vada,599,11.45,55.86,31.63,Katu (Pungent),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,South Indian,"['Acidity', 'Joint_Pain']"
Bitter Gourd,204,23.73,12.18,6.03,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,East Indian,"['General_Wellness', 'Diabetes', 'Joint_Pain']"
Dal Tadka,106,12.46,40.53,27.25,Katu (Pungent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,South Indian,['Acidity']
Roti,265,5.82,60.36,24.86,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Avoid,Avoid,East Indian,"['Skin_Health', 'General_Wellness']"
Artichoke,199,36.76,48.13,25.97,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,South Indian,"['Digestion', 'Joint_Pain', 'Heart_Health']"
Fafda,126,17.62,17.42,7.54,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Neutral,South Indian,"['Stress', 'General_Wellness', 'Hair_Growth']"
Mysore Pak,199,15.17,67.69,26.67,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,North Indian,['Heart_Health']
Cheddar,212,30.42,34.81,7.76,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,East Indian,"['Weight_Loss', 'Skin_Health', 'Immunity']"
Toor Dal,269,7.2,41.62,9.43,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,East Indian,"['Joint_Pain', 'Acidity', 'Diabetes']"
